sample_id,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,label,binary_label,source_file
classifier-demo-000,443,117574295,32,39,13132,9169,1646,0,410.375,684.4738384,1231,0,235.1025641,459.8450995,189.6758131,0.603873491,1679632.786,3632446.863,10000000,3,118000000,3791546.452,4725031.695,10000000,540,118000000,3093098.684,4513023.803,10000000,3,0,0,0,0,1032,1256,0.272168334,0.331705157,0,1646,309.7361111,571.5841341,326708.4223,0,0,0,1,0,0,0,0,1,314.0985915,410.375,235.1025641,1032,0,0,0,0,0,0,32,13132,39,9169,29200,661,10,32,677642.6364,2126711.184,7089918,36136,10000000.0,13146.4887,10000000,9968007,BENIGN,0,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv
classifier-demo-001,443,193333,7,5,376,3508,201,0,53.71428571,78.68653906,1460,0,701.6,731.5646246,20089.68981,62.06907253,17575.72727,33771.67924,85291,40,193333,32222.16667,42609.64361,88144,185,90738,22684.5,43508.50964,87925,54,0,0,0,0,152,112,36.20695898,25.86211356,0,1460,298.7692308,539.9757948,291573.859,0,0,0,1,0,0,0,0,0,323.6666667,53.71428571,701.6,152,0,0,0,0,0,0,7,376,5,3508,8192,60,6,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Friday-WorkingHours-Morning.pcap_ISCX.csv
classifier-demo-002,443,435704,10,8,843,917,581,0,84.3,182.045812305,773,0,114.625,270.7539407443,4039.4396195582,41.3124506546,25629.6470588235,44919.4824365514,119403,1,435704,48411.5555555556,54391.7378310142,120311,3,283531,40504.4285714286,67910.9804495492,152808,1,0,0,0,0,332,264,22.9513614748,18.3610891798,0,773,92.6315789474,214.0306858909,45809.134502924,0,0,0,1,0,0,0,0,0,97.7777777778,84.3,114.625,332,0,0,0,0,0,0,10,843,8,917,65535,5186,5,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Monday-WorkingHours.pcap_ISCX.csv
classifier-demo-003,53,289,2,2,60,288,30,30,30.0,0.0,144,144,144.0,0.0,1204152.249,13840.83045,96.33333333,165.122177,287,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,40,40,6920.415225,6920.415225,30,144,75.6,62.44037156,3898.8,0,0,0,0,0,0,0,0,1,94.5,30.0,144.0,40,0,0,0,0,0,0,2,60,2,288,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Friday-WorkingHours-Morning.pcap_ISCX.csv
classifier-demo-004,53,252129,1,1,58,202,58,58,58.0,0.0,202,202,202.0,0.0,1031.218146,7.932447279,252129.0,0.0,252129,252129,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,3.966223639,3.966223639,58,202,106.0,83.13843876,6912.0,0,0,0,0,0,0,0,0,1,159.0,58.0,202.0,32,0,0,0,0,0,0,1,58,1,202,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Wednesday-workingHours.pcap_ISCX.csv
classifier-demo-005,80,5006127,4,4,447,530,447,0,111.75,223.5,530,0,132.5,265.0,195.1608499,1.59804176,715161.0,1889619.815,5000415,4,5712,1904.0,2168.235227,4266,4,5005996,1668665.333,2885896.206,5001011,1407,0,0,0,0,136,136,0.79902088,0.79902088,0,530,108.5555556,216.4053552,46831.27778,0,0,0,1,0,0,0,0,1,122.125,111.75,132.5,136,0,0,0,0,0,0,4,447,4,530,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack - Sql Injection,1,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv
classifier-demo-006,80,5016759,5,5,599,4149,599,0,119.8,267.8809437,2701,0,829.8,1219.555739,946.4277634,1.993318794,557417.6667,1667490.203,5004049,4,12710,3177.5,5465.625216,11356,4,5016632,1254158.0,2500655.185,5005134,47,0,0,0,0,168,168,0.996659397,0.996659397,0,2701,431.6363636,877.5817082,770149.6545,0,0,0,1,0,0,0,0,1,474.8,119.8,829.8,168,0,0,0,0,0,0,5,599,5,4149,29200,236,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack - Sql Injection,1,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv
classifier-demo-007,80,5012479,6,4,600,4149,600,0,100.0,244.9489743,2701,0,1037.25,1302.376642,947.4353908,1.995020827,556942.1111,1666209.939,5000160,3,5012479,1002495.8,2234766.928,5000160,3,11118,3706.0,5627.995291,10187,51,0,0,0,0,200,136,1.197012496,0.798008331,0,2701,431.7272727,877.6008308,770183.2182,0,0,0,1,0,0,0,0,0,474.9,100.0,1037.25,200,0,0,0,0,0,0,6,600,4,4149,29200,236,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack - Sql Injection,1,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv
classifier-demo-008,80,508,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,5905.511811,254.0,309.7127702,473,35,508,508.0,0.0,508,508,0,0.0,0.0,0,0,0,0,0,0,64,32,3937.007874,1968.503937,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,1,0,237,235,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack - Sql Injection,1,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv
classifier-demo-009,80,5006168,4,4,599,2021,599,0,149.75,299.5,2021,0,505.25,1010.5,523.35439,1.598028672,715166.8571,1889455.998,5000049,108,6119,2039.666667,2628.237496,5066,330,5005995,1668665.0,2885649.943,5000726,988,0,0,0,0,136,136,0.799014336,0.799014336,0,2021,291.1111111,678.2819186,460066.3611,0,0,0,1,0,0,0,0,1,327.5,149.75,505.25,136,0,0,0,0,0,0,4,599,4,2021,29200,236,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack - Sql Injection,1,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv
