example_id,base_context_id,task_type,ids_label,confidence_band,provenance_type,review_status,reviewer_decision,reviewer_notes
trustsecai-gold-v0-00080,ctx-bot-usage_context-b6fb02bd,multi_turn_analyst_interaction,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00023,ctx-bot-sparse-307bb0c4,multi_turn_analyst_interaction,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00026,ctx-bot-sparse-307bb0c4,attack_mapping,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00034,ctx-bot-sparse-307bb0c4,attack_mapping,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00055,ctx-bot-mitigation_focus-8e263beb,executive_summary,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00006,ctx-bot-full-9ad6c351,executive_summary,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00096,ctx-bot-detection_focus-62e2217f,soc_incident_assessment,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00040,ctx-bot-sparse-307bb0c4,soc_incident_assessment,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00088,ctx-bot-detection_focus-62e2217f,mitigation_detection,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00092,ctx-bot-detection_focus-62e2217f,mitigation_detection,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00099,ctx-bot-detection_focus-62e2217f,threat_hunting_followup,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00102,ctx-bot-alternate_entities-ca61c22b,threat_hunting_followup,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00008,ctx-bot-full-9ad6c351,vulnerability_context,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00119,ctx-bot-alternate_entities-ca61c22b,vulnerability_context,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00091,ctx-bot-detection_focus-62e2217f,uncertainty_evidence_gap,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00010,ctx-bot-full-9ad6c351,uncertainty_evidence_gap,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00252,ctx-ddos-mitigation_focus-09741b10,uncertainty_evidence_gap,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00196,ctx-ddos-sparse-650daece,uncertainty_evidence_gap,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00131,ctx-ddos-full-feb846f2,soc_incident_assessment,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00180,ctx-ddos-full-ecb49bb9,soc_incident_assessment,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00135,ctx-ddos-full-feb846f2,attack_mapping,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00291,ctx-ddos-mitigation_focus-d97b40db,attack_mapping,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00195,ctx-ddos-sparse-650daece,executive_summary,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00282,ctx-ddos-mitigation_focus-d97b40db,executive_summary,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00136,ctx-ddos-full-feb846f2,mitigation_detection,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00211,ctx-ddos-sparse-7bb2b39d,mitigation_detection,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00162,ctx-ddos-full-ecb49bb9,threat_hunting_followup,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00234,ctx-ddos-sparse-16f845ec,threat_hunting_followup,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00247,ctx-ddos-mitigation_focus-09741b10,multi_turn_analyst_interaction,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00172,ctx-ddos-full-ecb49bb9,multi_turn_analyst_interaction,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00276,ctx-ddos-mitigation_focus-f783c3a7,vulnerability_context,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00263,ctx-ddos-mitigation_focus-f783c3a7,vulnerability_context,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00374,ctx-ftp_patator-mitigation_focus-b851d1b8,soc_incident_assessment,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00314,ctx-ftp_patator-full-0c976f28,soc_incident_assessment,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00400,ctx-ftp_patator-usage_context-94786fa5,vulnerability_context,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00339,ctx-ftp_patator-focused-0b5b9c0a,vulnerability_context,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
