example_id,base_context_id,sample_id,ids_label,model_prediction,model_confidence,confidence_band,task_type,difficulty,provenance_type,has_real_shap,has_cve,source_file,review_status,reviewer_decision,reviewer_notes
trustsecai-gold-v1-00041,evx-ddos-49118,49118,DDoS,ATTACK,0.9999991655349731,high,mitigation_detection,easy,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00050,evx-ddos-57835,57835,DDoS,ATTACK,0.9999994039535522,high,threat_hunting_followup,medium,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00131,evx-ddos-135033,135033,DDoS,ATTACK,0.999998927116394,high,vulnerability_context,hard,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00140,evx-ddos-150294,150294,DDoS,ATTACK,0.9999994039535522,high,uncertainty_evidence_gap,expert,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00033,evx-ddos-47190,47190,DDoS,ATTACK,0.999998927116394,high,multi_turn_analyst_interaction,easy,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00030,evx-ddos-47190,47190,DDoS,ATTACK,0.999998927116394,high,attack_mapping,medium,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00079,evx-ddos-83895,83895,DDoS,ATTACK,0.9999995231628418,high,executive_summary,hard,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00008,evx-ddos-33524,33524,DDoS,ATTACK,0.999991774559021,high,vulnerability_context,expert,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00025,evx-ddos-36286,36286,DDoS,ATTACK,0.9999951124191284,high,attack_mapping,easy,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00070,evx-ddos-82526,82526,DDoS,ATTACK,0.9999988079071045,high,executive_summary,medium,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00011,evx-ddos-33524,33524,DDoS,ATTACK,0.999991774559021,high,threat_hunting_followup,hard,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00012,evx-ddos-33524,33524,DDoS,ATTACK,0.999991774559021,high,soc_incident_assessment,expert,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00045,evx-ddos-54067,54067,DDoS,ATTACK,0.999997615814209,high,mitigation_detection,easy,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00150,evx-ddos-169905,169905,DDoS,ATTACK,0.9999970197677612,high,uncertainty_evidence_gap,medium,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00015,evx-ddos-33751,33751,DDoS,ATTACK,0.9999990463256836,high,attack_mapping,hard,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00016,evx-ddos-33751,33751,DDoS,ATTACK,0.9999990463256836,high,executive_summary,expert,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00137,evx-ddos-150294,150294,DDoS,ATTACK,0.9999994039535522,high,vulnerability_context,easy,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00018,evx-ddos-33751,33751,DDoS,ATTACK,0.9999990463256836,high,multi_turn_analyst_interaction,medium,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
