Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,label,binary_label,source_file
53350,48,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0.0,0.0,895833.3333,62500.0,24.0,32.52691193,47,1,48,24.0,32.52691193,47,1,0,0.0,0.0,0,0,0,0,0,0,60,0,62500.0,0.0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0.0,60,0,0,0,0,0,0,3,43,0,0,2286,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv
443,341545,2,1,6,0,6,0,3.0,4.242640687,0,0,0.0,0.0,17.56723126,8.783615629,170772.5,241385.749,341458,87,341545,341545.0,0.0,341545,341545,0,0.0,0.0,0,0,0,0,0,0,60,32,5.855743753,2.927871876,0,6,1.5,3.0,9.0,0,0,0,1,0,0,0,0,0,2.0,3.0,0.0,60,0,0,0,0,0,0,2,6,1,0,29200,14600,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Wednesday-workingHours.pcap_ISCX.csv
55104,29130,3,1,38,6,38,0,12.6666666667,21.9393102292,6,6,6.0,0.0,1510.470305527,137.3154823206,9710.0,16757.6260550234,29060,1,29130,14565.0,20596.6063224018,29129,1,0,0.0,0.0,0,0,1,0,0,0,96,20,102.9866117405,34.3288705802,0,38,16.4,19.8695747312,394.8,0,1,0,0,1,0,0,0,0,20.5,12.6666666667,6.0,96,0,0,0,0,0,0,3,38,1,6,349,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Monday-WorkingHours.pcap_ISCX.csv
80,100089920,5,8,382,11595,370,0,76.4,164.154805,4344,0,1449.375,1894.680443,119.6623996,0.129883209,8340826.667,28900000.0,100000000,9,100000000,25000000.0,50000000.0,100000000,990,100000000,14300000.0,37800000.0,100000000,9,0,0,0,0,144,264,0.04995508,0.079928129,0,4344,855.9285714,1564.377904,2447278.225,1,0,0,0,0,0,0,0,1,921.7692308,76.4,1449.375,144,0,0,0,0,0,0,5,382,8,11595,0,235,2,20,10982.0,0.0,10982,10982,100000000.0,0.0,100000000,100000000,DoS Hulk,1,Wednesday-workingHours.pcap_ISCX.csv
259,51,2,2,4,12,2,2,2.0,0.0,6,6,6.0,0.0,313725.4902,78431.37255,17.0,27.71281292,49,1,1,1.0,0.0,1,1,49,49.0,0.0,49,49,0,0,0,0,48,40,39215.68627,39215.68627,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2.0,6.0,48,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
53,172,2,2,46,46,23,23,23.0,0.0,23,23,23.0,0.0,534883.7209,23255.81395,57.33333333,93.24340906,165,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,40,11627.90698,11627.90698,23,23,23.0,0.0,0.0,0,0,0,0,0,0,0,0,1,28.75,23.0,23.0,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Tuesday-WorkingHours.pcap_ISCX.csv
443,62544902,19,14,1320,4253,509,0,69.47368421,160.7255661,1545,0,303.7857143,545.1842566,89.10398485,0.52762094,1954528.188,3904065.515,10100000,4,62500000,3474716.778,4826927.452,10300000,4,62400000,4796691.385,5122962.641,10300000,4,0,0,0,0,616,456,0.303781753,0.223839187,0,1545,163.9117647,381.351295,145428.8102,0,0,0,1,0,0,0,0,0,168.8787879,69.47368421,303.7857143,616,0,0,0,0,0,0,19,1320,14,4253,29200,118,4,32,483377.8333,723606.7958,1960434,187778,9940754.5,267525.9637,10100000,9396935,BENIGN,0,Friday-WorkingHours-Morning.pcap_ISCX.csv
53,50602,1,1,44,204,44,44,44.0,0.0,204,204,204.0,0.0,4900.99205565,39.524129481,50602.0,0.0,50602,50602,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,19.7620647405,19.7620647405,44,204,97.3333333333,92.3760430703,8533.3333333333,0,0,0,0,0,0,0,0,1,146.0,44.0,204.0,32,0,0,0,0,0,0,1,44,1,204,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Monday-WorkingHours.pcap_ISCX.csv
88,937,2,2,2944,578,1472,1472,1472.0,0.0,289,289,289.0,0.0,3758804.696,4268.943436,312.3333333,496.4769212,885,3,49,49.0,0.0,49,49,3,3.0,0.0,3,3,0,0,0,0,64,64,2134.471718,2134.471718,289,1472,998.8,647.9557855,419846.7,0,0,0,0,0,0,0,0,1,1248.5,1472.0,289.0,64,0,0,0,0,0,0,2,2944,2,578,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv
80,24,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,500000.0,83333.3333333333,24.0,0.0,24,24,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,41666.6666666667,41666.6666666667,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,16560,368,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Monday-WorkingHours.pcap_ISCX.csv
